name,address,latitude,longitude,photo,website
a basin,United States,39.642721,-105.871835,,
beaver creek,Beaver Creek,39.604225,-106.516515,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zDjRcwFu0yf6ytcz2DL5hEQ97qlVzCgOklNoKtnKG9bkca6XPG1f2QRqTFSgPOqnx7ZQdDGbFMsBLkD0gpdL3nNj2CyKyrBrUP7nigq7bnfTJxQe9ymEFLofy9b8QtXCldGaPmzBTjbhuPTln5q9VtcdppP_J5nArn_dA8AqnHGpnt&key=AIzaSyDB7ObqPaV5Z9kSV0htbAJILBmDH6ddU6k,
breckenridge,Breckenridge,39.4816537,-106.0383518,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ytd1gh1gQ5z0L_NJ2svZBC2UfKnIHL0FJbysCPOWwvw08L9igKjyX5lti1RyHfx_KCbn9r00USG4KLUBLcHsmjNU7U2rJPvwkgBGzgJ0vwdVVh1kEqnkyMv69UAmsq5BJAka1B6m0Xyg7SiaM2J3KOJHKFYDPJv-92LPrErq_Jyt43&key=AIzaSyDB7ObqPaV5Z9kSV0htbAJILBmDH6ddU6k,http://www.townofbreckenridge.com/
copper mountain,"509 Copper Road, Frisco",39.5021698,-106.1510542,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27woxT8rVrBS75-xSnjCLeqVEXnNEMyXqw0T1eHD7nH_k5sdanWi37-Ofb5UP9D1b2P0k-0wivHCNajkiTSYr_wN3xYlVaNMlIQcDgRaSCmPAJOvGAUv1Bv2x3MlO_JuUY00f_cEnJFMbZAjQLeo0jO-WhHMM44h2IKphIFE_t9I3Yh9&key=AIzaSyDB7ObqPaV5Z9kSV0htbAJILBmDH6ddU6k,http://www.coppercolorado.com/plan-your-trip/getting-here
eldora mountain,"2861 Eldora Ski Rd, Nederland",39.9372203,-105.5826786,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yAGOf5Dyl8mcrW84uIVTOpPqbHG71NHllo2i59dlDbjBJh6wgS_3vQulB6sK3V_f5Nc3RbEwqmp6U_q2lKILyoCPy_h4xf2tZjK0yQaTTDTUJjAzFOt5OYqQdTimIBahNenctPLTzIhY_NaYsTZLhfVTPkNID-bgSy3XtBf-gLjtnN&key=AIzaSyDB7ObqPaV5Z9kSV0htbAJILBmDH6ddU6k,http://www.eldora.com/?utm_source=google&utm_medium=gmb&utm_campaign=profile
keystone,Keystone,39.5791675,-105.9347384,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27x4C44lfss6oUbaoBwy5bFndV25DZ67eDQD1gy2dfK-iL6AbWjsXRk7kCGpyYZf3SU3MMYW2Sgy7wzR9urgM2032h3OdzgrCV1DMneU9C-ysa4RwlrIaxd7oUCaLBXuIDDN0aSzDqRt3H0RMPQnDBjuqEDns0BVMphT-W4-S4oAjhlp&key=AIzaSyDB7ObqPaV5Z9kSV0htbAJILBmDH6ddU6k,http://www.keystonecolorado.com/
loveland ski area,"Interstate 70, Dillon",39.6800625,-105.8979531,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zp78QZ4eQxbBuVcl2H_-E2EqoYSLbjDO-0wvd2SPjnVQAWmA196AJWV6WSu0VOuXAqP4chGArsRIubdGEKXZc298wMjSraMTMO1TW2MvH9_rMMcvi7rjGgacDbBF0-RLjwMi8h7FanE7pm0A1SgmbPhfuZB7T-cdAJUlWFug12OIm5&key=AIzaSyDB7ObqPaV5Z9kSV0htbAJILBmDH6ddU6k,https://skiloveland.com/
monarch mountain,"23715 U.S. 50, Salida",38.5120635,-106.3319719,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27x01OvJwJi0gdPkWBb5ep8vSInCvENLgVzD1L796IRBtmhePsc_kNovVMJkarczoB2I643Bcp6Re_Wxw1FyFohtO56xe33mbZuQTZbQm27o881Ojt8HHIF3I121IdmQpF1zJ7u_RgZJ5wTa-0ID-PxqG-v2vsm_gXKRCXhHuDezh7J4&key=AIzaSyDB7ObqPaV5Z9kSV0htbAJILBmDH6ddU6k,http://skimonarch.com/
powderhorn mountain resort,"48338 Powderhorn Road, Mesa",39.0693741,-108.1507111,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27x1Wp9_4TEU63SQ6Ih49QVncp8wsG4LUn5piE_inTc1gBvdFMzPyT0teQNe_Q9tbjd_E2BwX-eLMKEJUEjmLaoE5DuCa8LymHs59ixS5Z9tthwBFwaT8Pc0czjoLv2T6lkZO29klg25-I3t1TmKog4XoTI_g9LsCmwWTMIO_GJT0hVN&key=AIzaSyDB7ObqPaV5Z9kSV0htbAJILBmDH6ddU6k,http://www.powderhorn.com/
telluride,Telluride,37.9374939,-107.8122852,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27w_gi-vf_5K-PDlOApi85Wx67qZWIzHEsU9VKdPA78aLiMQ8Xge2UDMgQDfBkGtuiljHrbc0hvtp31VNunkkHGy5ougTfuUORn3InoVNUeZ5Uopay7vcPmRpNBlFOoCE88bWpPVAHYVdKR8HcgUTAbvhOut_Fvoxu5P9SjQyYOC3dO9&key=AIzaSyDB7ObqPaV5Z9kSV0htbAJILBmDH6ddU6k,http://www.telluride-co.gov/
